RF,Platt,ISO,Rank
0.9388776249094858,0.9387183200579292,0.93756698044895,0.9354815351194788
0.922283950617284,0.9233950617283948,0.9208024691358024,0.8895679012345677
0.8476656151419557,0.8476340694006309,0.842807570977918,0.8403785488958991
0.9866504854368932,0.9870873786407768,0.985873786407767,0.9691990291262136
0.922283950617284,0.9233950617283948,0.9208024691358024,0.8895679012345677
0.8588135593220341,0.8583050847457626,0.8525423728813557,0.8010169491525423
0.8247311827956989,0.8183870967741936,0.8135483870967742,0.7969892473118282
0.9166037735849056,0.9165094339622644,0.908490566037736,0.8620754716981132
0.7458874458874459,0.7436363636363638,0.7374891774891773,0.7420346320346322
0.948187134502924,0.9488888888888888,0.9457309941520466,0.925847953216374
0.7538666666666668,0.7635555555555557,0.7632444444444445,0.7647555555555556
0.8787137626802344,0.8790465741017414,0.8753544743825249,0.8560831567799793
1.6363636363636365,1.6363636363636365,3.090909090909091,3.6363636363636362
