RF,Platt,ISO,Rank
0.053577967869871,0.0474905431011258,0.0485081445032715,0.0502082620937868
0.0628344960634443,0.0628441947215373,0.0659052485199247,0.0895045759928429
0.1125843690486033,0.1111650516232994,0.114855890002087,0.1172657134897714
0.0139582858549129,0.0102911278016924,0.0113576560669554,0.0244606080158569
0.0628344960634443,0.0628441947215373,0.0659052485199247,0.0895045759928429
0.1021798271236412,0.1016025489846283,0.1099771076955705,0.141405026426441
0.1189922027029584,0.1228996588788462,0.1281425253674283,0.1371450794440989
0.0721702325024173,0.064874590893774,0.0710745678242649,0.1000546006070643
0.1716084166204161,0.1733639180998529,0.1789102123699958,0.1750931867899935
0.0402994793344183,0.0393873901419638,0.0435100780391558,0.0597729381523344
0.1740141246994457,0.1688229235608248,0.1727188546901001,0.1711355547603624
0.08955035435305206,0.08778055841173474,0.09189686669078898,0.10505001106958142
2.8181818181818183,3.6363636363636362,2.1818181818181817,1.3636363636363635
