RF,Platt,ISO,Rank
0.0616570717556557,0.0146045880309185,0.0170172525518502,0.0181832623593707
0.0530286539882874,0.052817694735271,0.0535713079710393,0.1090756040044141
0.058980313173138,0.0498557880600923,0.0567559199182538,0.0577104644703915
0.0381516923572517,0.0114497380250103,0.0088292097558557,0.0181768999520486
0.0530286539882874,0.052817694735271,0.0535713079710393,0.1090756040044141
0.1108242780424029,0.1023915341345542,0.0956031006588192,0.1411193601865196
0.0905066561803905,0.0968667732421632,0.0961704862706026,0.1022103297043631
0.0887856553880372,0.0640830751520289,0.0610967875477622,0.1128675050698149
0.0677801813328838,0.0728173276089003,0.0876704981410289,0.0845808648326115
0.0418930353936839,0.0379850438974903,0.0326323426281975,0.0628879397038846
0.0744866712697433,0.0751017184354728,0.0809928075455172,0.0838401875349993
0.0671929875336147,0.05734463418701569,0.05853736554181508,0.08179345652934837
2.4545454545454546,3.272727272727273,2.909090909090909,1.3636363636363635
