RF,Platt,ISO,Rank
0.97876768464353,0.97876768464353,0.9774481091598256,0.9768454378697088
0.8397239184207561,0.8397239184207561,0.8099072606738383,0.7994033637089979
0.9081649868915788,0.9081649868915788,0.9021459486336326,0.8990761414053415
0.9987393724857824,0.9987393724857824,0.9946270528321908,0.9893479552219973
0.8397239184207561,0.8397239184207561,0.8099072606738383,0.7994033637089979
0.9112381357820134,0.9112381357820134,0.8788981214760454,0.8721479575383704
0.9046621969118642,0.9046621969118642,0.8887628284305674,0.8749616706930309
0.964962533524796,0.9649605750445768,0.9500071684497656,0.9375627861340348
0.7989562184186006,0.7989562184186006,0.7896542913849421,0.7991636177440098
0.9855325056967068,0.9855325056967068,0.9746281057860472,0.970428288160599
0.6883557797421154,0.6883557797421154,0.6761859183934473,0.6842649253869031
0.8926206591762273,0.892620481132571,0.8774701878085582,0.8729641370519993
1.5454545454545454,1.6363636363636365,3.1818181818181817,3.6363636363636362
